
1100200349101,Somchai,Jaidee,45,Male,Healthy,General
1209384756102,Somsri,Rakthai,42,Female,Healthy,General
3309182736103,Prasert,Meechok,65,Male,Chronic,Vulnerable
1405928374104,Malee,Wongsa,62,Female,Chronic,Vulnerable
5501928374105,Wanchai,Saetang,30,Male,Healthy,General
1602837465106,Pornthip,Sukkasem,28,Female,Healthy,General
1703948576107,Niphon,Charoenrat,55,Male,Critical,General
1804859607108,Ratana,Kongkaew,50,Female,Critical,General
3905760718109,Grandma,Noi,85,Female,Critical,Vulnerable
3106671829110,Grandpa,Pol,82,Male,Critical,Vulnerable
1207582930111,Suthep,Thongdee,35,Male,Healthy,General
1308493041112,Kanda,Maneewong,33,Female,Healthy,General
1409304152113,Wichai,Srisuk,48,Male,Chronic,VIP
1501215263114,Amporn,Ratanaporn,46,Female,Chronic,VIP
3602126374115,Somboon,Klaikangwon,10,Male,Healthy,Vulnerable
3703237485116,Naree,Chaisri,8,Female,Healthy,Vulnerable
1804348596117,Arthit,Suriyawong,25,Male,Healthy,General
1905459607118,Duangjai,Jaitrong,24,Female,Healthy,General
1106560718119,Kittisak,Panya,29,Male,Healthy,General
1207671829120,Siriporn,Ngamta,27,Female,Healthy,General
3308782930121,Lung,Mee,75,Male,Healthy,Vulnerable
3409893041122,Pa,ew,72,Female,Healthy,Vulnerable
1501904152123,Thongchai,Rungruang,52,Male,Chronic,General
1602015263124,Wilai,Sookjai,49,Female,Chronic,General
3703126374125,Nong,B,5,Male,Healthy,Vulnerable
3804237485126,Nong,A,6,Female,Healthy,Vulnerable
1905348596127,Chaiyot,Yotying,40,Male,Healthy,General
1106459607128,Benjaporn,Suwan,38,Female,Healthy,General
1207560718129,Anan,Kaewta,32,Male,Healthy,General
1308671829130,Darunee,Mali,31,Female,Healthy,General
3409782930131,Ta,Chom,88,Male,Critical,Vulnerable
3501893041132,Yai,Sim,86,Female,Critical,Vulnerable
1602904152133,Preecha,Samakkee,58,Male,Chronic,VIP
1703015263134,Suwan,Thongthae,54,Female,Chronic,VIP
1804126374135,Manop,Kongman,22,Male,Healthy,General
1905237485136,Jiraporn,Sawang,21,Female,Healthy,General
1106348596137,Somsak,Pattana,44,Male,Critical,General
1207459607138,Mayuree,Chompoo,41,Female,Critical,General
3308560718139,Dekchai,Keng,12,Male,Healthy,Vulnerable
3409671829140,Dekying,Kwan,11,Female,Healthy,Vulnerable
1501782930141,Surachai,Munkong,36,Male,Healthy,General
1602893041142,Nittaya,Boonmee,34,Female,Healthy,General
3703904152143,Uncle,Dang,68,Male,Chronic,Vulnerable
3804015263144,Auntie,Lek,66,Female,Chronic,Vulnerable
1905126374145,Pisan,Sriboon,26,Male,Healthy,General
1106237485146,Urai,Wongchai,23,Female,Healthy,General
1207348596147,Tanawat,Sitthi,39,Male,Healthy,General
1308459607148,Orathai,Sanit,37,Female,Healthy,General
3409560718149,Grandpa,Jook,90,Male,Critical,Vulnerable
3501671829150,Grandma,Jik,89,Female,Critical,Vulnerable
1602782930151,Chatchai,Chana,47,Male,Healthy,General
1703893041152,Suda,Ratana,43,Female,Healthy,General
1804904152153,Narong,Kiet,51,Male,Chronic,General
1905015263154,Pensri,Srisai,48,Female,Chronic,General
3106126374155,Boy,Ton,7,Male,Healthy,Vulnerable
3207237485156,Girl,Toey,6,Female,Healthy,Vulnerable
1308348596157,Supachai,Dee,33,Male,Healthy,General
1409459607158,Waraporn,Ngam,30,Female,Healthy,General
1501560718159,Vichit,Chai,56,Male,Healthy,VIP
1602671829160,Sumalee,Jit,53,Female,Healthy,VIP
3703782930161,Lung,Som,77,Male,Chronic,Vulnerable
3804893041162,Pa,Nid,74,Female,Chronic,Vulnerable
1905904152163,Apichat,Rak,29,Male,Healthy,General
1106015263164,Ratree,Dao,28,Female,Healthy,General
1207126374165,Kamon,Wan,42,Male,Critical,General
1308237485166,Malai,Dok,40,Female,Critical,General
3409348596167,Nong,James,9,Male,Healthy,Vulnerable
3501459607168,Nong,Jane,8,Female,Healthy,Vulnerable
1602560718169,Thawat,Mee,31,Male,Healthy,General
1703671829170,Sunisa,Jai,27,Female,Healthy,General
1804782930171,Pongsak,Sak,49,Male,Healthy,General
1905893041172,Churee,Porn,46,Female,Healthy,General
3106904152173,Grandpa,Khao,81,Male,Chronic,Vulnerable
3207015263174,Grandma,Khiao,79,Female,Chronic,Vulnerable
1308126374175,Somkid,Kid,35,Male,Healthy,General
1409237485176,Wanida,Wa,32,Female,Healthy,General
1501348596177,Adisak,Ad,59,Male,Chronic,General
1602459607178,Patcharee,Pat,55,Female,Chronic,General
3703560718179,Boy,Ball,13,Male,Healthy,Vulnerable
3804671829180,Girl,Belle,12,Female,Healthy,Vulnerable
1905782930181,Danai,Dan,24,Male,Healthy,General
1106893041182,Kanjana,Kan,23,Female,Healthy,General
1207904152183,Chana,Chok,45,Male,Healthy,VIP
1308015263184,Sopha,So,43,Female,Healthy,VIP
3409126374185,Uncle,Moo,69,Male,Healthy,Vulnerable
3501237485186,Auntie,Mee,67,Female,Healthy,Vulnerable
1602348596187,Wuth,Wuth,26,Male,Healthy,General
1703459607188,Nan,Nan,25,Female,Healthy,General
1804560718189,Lek,Lek,38,Male,Critical,General
1905671829190,Ying,Ying,36,Female,Critical,General
3106782930191,Nong,Tor,14,Male,Healthy,Vulnerable
3207893041192,Nong,Teoy,13,Female,Healthy,Vulnerable
1308904152193,Sakda,Sak,39,Male,Healthy,General
1409015263194,Busaba,Bus,37,Female,Healthy,General
1501126374195,Nat,Nat,22,Male,Healthy,General
1602237485196,Joy,Joy,21,Female,Healthy,General
1703348596197,Sombat,Bat,44,Male,Healthy,General
1804459607198,Pim,Pim,41,Female,Healthy,General
3905560718199,Grandpa,Dum,83,Male,Chronic,Vulnerable
3106671829200,Grandma,Daeng,80,Female,Chronic,Vulnerable
